t,frame,x,y,z,doppler,snr_db
1783974077.678,116,7.533,-0.954,0.799,0.0,17.0
1783974077.678,116,6.868,1.67,-2.887,0.0,17.0
1783974077.678,116,7.628,1.456,0.065,0.0,15.1
1783974077.779,117,7.571,-0.954,-0.248,0.0,15.8
1783974077.779,117,7.382,1.909,0.401,0.0,15.8
1783974077.779,117,7.678,0.728,-0.907,0.0,11.6
1783974077.879,118,7.648,-0.724,0.782,0.0,15.2
1783974077.98,119,7.439,-0.954,1.429,0.0,14.0
1783974078.081,120,0.643,-0.886,-0.296,0.0,12.1
1783974078.081,120,0.816,0.709,0.343,0.0,12.1
1783974078.081,120,7.485,-0.954,1.162,0.0,14.0
1783974078.181,121,0.715,-0.851,-0.226,0.0,11.8
1783974078.181,121,0.915,0.461,-0.488,0.0,11.8
1783974078.181,121,7.488,-0.954,1.145,0.0,16.8
1783974078.181,121,7.519,1.941,0.032,0.0,11.9
1783974078.282,122,7.455,-0.954,1.343,0.0,15.6
1783974078.384,123,7.704,-0.483,0.221,0.0,15.1
1783974078.485,124,7.557,-0.954,-0.521,0.0,14.1
1783974078.485,124,6.517,1.67,3.609,0.0,14.1
1783974078.485,124,7.598,1.456,-0.682,0.0,13.9
1783974078.586,125,7.531,-0.949,0.102,0.0,16.1
1783974078.586,125,7.508,1.456,-1.348,0.0,11.8
1783974078.586,125,6.755,-1.456,3.543,0.0,11.8
1783974078.686,126,7.455,-0.954,1.346,0.0,16.0
1783974078.686,126,7.249,1.909,-1.449,0.0,16.0
1783974078.686,126,7.73,-0.485,-0.561,0.0,14.1
1783974078.787,127,0.657,-0.886,-0.264,0.0,11.5
1783974078.787,127,0.907,0.567,0.377,0.0,11.5
1783974078.787,127,7.46,-1.193,1.104,0.0,17.0
1783974078.787,127,7.626,1.456,0.202,0.0,14.1
1783974078.787,127,6.908,-0.971,-3.413,0.0,14.1
1783974078.888,128,7.5,-0.724,1.689,0.0,13.1
1783974078.888,128,7.205,1.931,-1.998,0.0,13.1
1783974078.989,129,7.524,-0.954,0.881,0.0,14.7
1783974078.989,129,7.627,1.456,0.115,0.0,12.7
1783974078.989,129,7.061,-0.971,-3.083,0.0,12.7
1783974079.09,130,0.667,-0.886,-0.239,0.0,11.3
1783974079.09,130,1.02,0.496,0.024,0.0,11.3
1783974079.09,130,7.553,-0.954,0.584,0.0,19.3
1783974079.09,130,7.564,1.699,0.458,0.0,12.9
1783974079.09,130,7.215,-0.728,-2.779,0.0,12.9
1783974079.19,131,0.675,-0.886,-0.214,0.0,11.5
1783974079.19,131,1.013,0.496,0.117,0.0,11.5
1783974079.19,131,7.565,-0.954,0.397,0.0,15.7
1783974079.19,131,8.446,0.529,0.139,0.0,12.7
1783974079.19,131,7.828,-2.645,-1.835,0.0,12.7
1783974079.292,132,0.66,-0.886,-0.256,0.0,11.6
1783974079.292,132,1.028,0.461,-0.133,0.0,11.6
1783974079.292,132,7.571,-0.954,0.261,0.0,14.2
1783974079.292,132,7.388,1.67,0.957,0.0,14.2
1783974079.393,133,0.663,-0.886,-0.249,0.0,11.5
1783974079.393,133,7.575,-0.954,-0.051,0.0,16.2
1783974079.393,133,7.423,1.67,0.638,0.0,16.2
1783974079.393,133,7.504,1.941,0.482,0.0,13.3
1783974079.393,133,7.075,-1.941,2.547,0.0,13.3
1783974079.495,134,7.544,-0.954,0.685,0.0,17.0
1783974079.495,134,7.239,1.909,-1.498,0.0,17.0
1783974079.495,134,7.577,-0.243,-1.684,0.0,13.6
1783974079.596,135,7.497,-0.954,1.088,0.0,16.2
1783974079.596,135,7.282,1.909,-1.275,0.0,16.2
1783974079.596,135,7.5,1.699,1.08,0.0,14.3
1783974079.596,135,7.576,-0.243,-1.692,0.0,14.3
1783974079.697,136,7.479,-0.954,1.2,0.0,17.2
1783974079.697,136,7.061,1.67,-2.375,0.0,17.2
1783974079.697,136,7.487,1.941,0.692,0.0,11.7
1783974079.697,136,6.694,-0.728,-3.868,0.0,11.7
1783974079.798,137,7.551,-0.954,0.598,0.0,16.6
1783974079.798,137,7.401,1.67,-0.852,0.0,16.6
1783974079.798,137,7.514,1.941,0.292,0.0,12.3
1783974079.798,137,7.049,-0.243,-3.251,0.0,12.3
1783974079.899,138,7.575,-0.954,0.052,0.0,17.7
1783974079.899,138,6.815,1.909,2.865,0.0,17.7
1783974079.899,138,7.717,0.243,-0.837,0.0,13.5
1783974079.999,139,7.466,-0.704,0.266,0.0,11.6
1783974079.999,139,7.106,2.111,1.169,0.0,11.6
1783974079.999,139,7.558,-0.954,-0.51,0.0,16.1
1783974079.999,139,7.118,1.909,1.995,0.0,16.1
1783974079.999,139,7.377,1.699,-1.733,0.0,12.6
1783974079.999,139,7.143,-1.213,2.795,0.0,12.6
1783974080.101,140,7.569,-0.954,-0.299,0.0,15.0
1783974080.101,140,6.984,1.909,2.425,0.0,15.0
1783974080.101,140,7.619,1.456,-0.372,0.0,14.7
1783974080.203,141,7.566,-0.954,0.374,0.0,15.9
