seq,ts_ticks,ts_src,ax_mg,ay_mg,az_mg,gx_mdps,gy_mdps,gz_mdps
362,635431121,0,1002,14,-11,-280,-1050,-70
363,635436121,0,1002,13,-11,-210,-980,-70
364,635441121,0,1002,13,-11,-210,-980,-70
365,635446123,0,1002,13,-11,-210,-980,-70
366,635451121,0,1002,13,-11,-210,-980,-70
367,635456123,0,1002,13,-9,-210,-1050,-70
368,635461120,0,1002,13,-9,-210,-1050,-70
369,635466123,0,1002,13,-9,-210,-1050,-70
370,635471120,0,1003,12,-10,-280,-1050,-70
371,635476124,0,1003,12,-10,-280,-1050,-70
372,635481125,0,1003,12,-10,-280,-1050,-70
373,635486124,0,1003,12,-10,-280,-1050,-70
374,635491122,0,1002,12,-11,-280,-1120,-70
375,635496122,0,1002,12,-11,-280,-1120,-70
376,635501122,0,1002,12,-11,-280,-1120,-70
377,635506121,0,1002,12,-11,-280,-1120,-70
378,635511122,0,1002,13,-12,-280,-1050,-70
379,635516123,0,1002,13,-12,-280,-1050,-70
380,635521121,0,1002,13,-12,-280,-1050,-70
381,635526122,0,1003,14,-12,-280,-980,-70
382,635531123,0,1003,14,-12,-280,-980,-70
383,635536123,0,1003,14,-12,-280,-980,-70
384,635541125,0,1003,14,-12,-280,-980,-70
385,635546125,0,1002,13,-11,-210,-980,-70
386,635551120,0,1002,13,-11,-210,-980,-70
387,635556122,0,1002,13,-11,-210,-980,-70
388,635561124,0,1002,13,-11,-210,-980,-70
389,635566121,0,1002,13,-11,-210,-980,-140
390,635571125,0,1002,13,-11,-210,-980,-140
391,635576123,0,1002,13,-11,-210,-980,-140
392,635581123,0,1002,13,-11,-210,-980,-140
393,635586125,0,1001,13,-10,-210,-1050,-70
394,635591122,0,1001,13,-10,-210,-1050,-70
395,635596125,0,1001,13,-10,-210,-1050,-70
396,635601122,0,1002,14,-11,-280,-1120,-70
397,635606126,0,1002,14,-11,-280,-1120,-70
398,635611122,0,1002,14,-11,-280,-1120,-70
399,635616122,0,1002,14,-11,-280,-1120,-70
400,635621124,0,1002,14,-12,-210,-1120,-70
401,635626122,0,1002,14,-12,-210,-1120,-70
